run_time,train_table,roc_auc,log_loss,baseline_hr_rate,top10_hr_rate,top1_hr_rate,top10_lift,top1_lift,features
2026-02-16 17:44:54,train_table_2024_full_season.parquet,0.6115620156232356,0.3222268516801848,0.10166537567776918,0.17618586640851888,0.28846153846153844,1.732997741206841,2.837362637362637,32
2026-02-16 18:25:35,train_table_2024_full_season.parquet,0.6168718627783081,0.32289672888028015,0.10166537567776918,0.17909002904162633,0.3173076923076923,1.7615636380399207,3.1210989010989008,36
2026-02-16 18:32:59,train_table_2024_full_season.parquet,0.6168718627783081,0.32289672888028015,0.10166537567776918,0.17909002904162633,0.3173076923076923,1.7615636380399207,3.1210989010989008,36
2026-02-16 18:39:49,train_table_2024_full_season.parquet,0.6168718627783081,0.32289672888028015,0.10166537567776918,0.17909002904162633,0.3173076923076923,1.7615636380399207,3.1210989010989008,36
2026-02-16 18:41:16,train_table_2024_full_season.parquet,0.6166704646937455,0.3228719102706438,0.10166537567776918,0.1771539206195547,0.3557692307692308,1.7425197068178675,3.4994139194139193,42
2026-02-16 19:02:16,train_table_2024_full_season.parquet,0.6166704646937455,0.3228719102706438,0.10166537567776918,0.1771539206195547,0.3557692307692308,1.7425197068178675,3.4994139194139193,42
2026-02-16 19:05:02,train_table_2024_full_season.parquet,0.6209655713977764,0.3242772910732634,0.10166537567776918,0.1486784140969163,0.2077922077922078,1.4624292007551918,2.0438837353123067,42
2026-02-16 19:20:04,train_table_2024_full_season.parquet,0.6209655713977764,0.3242772910732634,0.10166537567776918,0.1486784140969163,0.2077922077922078,1.4624292007551918,2.0438837353123067,42
2026-02-16 19:30:20,train_table_2024_full_season.parquet,0.6209655713977764,0.3242772910732634,0.10166537567776918,0.1486784140969163,0.2077922077922078,1.4624292007551918,2.0438837353123067,42
2026-02-18 17:59:16,train_table_2024_full_season.parquet,0.6209655713977764,0.3242772910732634,0.10166537567776918,0.1486784140969163,0.2077922077922078,1.4624292007551918,2.0438837353123067,42
2026-02-19 17:09:49,train_table_2024_full_season.parquet,0.6209655713977764,0.3242772910732634,0.10166537567776918,0.1486784140969163,0.2077922077922078,1.4624292007551918,2.0438837353123067,42
2026-02-19 17:21:53,train_table_2024_full_season.parquet,0.6209655713977764,0.3242772910732634,0.10166537567776918,0.1486784140969163,0.2077922077922078,1.4624292007551918,2.0438837353123067,42
2026-02-19 18:15:19,train_table_2022_2023_2024_combined.parquet,0.6223934288867307,0.3377281677785138,0.10941484253402656,0.18390129259694477,0.20899940793368857,1.6807709844279484,1.9101559084060513,42
2026-02-19 19:17:34,train_table_2022_2023_2024_combined.parquet,0.6264723569568901,0.33567389204183506,0.10941484253402656,0.18014059753954306,0.23484848484848486,1.646400007234135,2.1464042666373175,101
